Month,City,Company,Total Monthly Hours
September,Ahmedabad,Tata Power Company Ltd.,1543.2
December,Ahmedabad,Indowind Energy,777.6
June,Ahmedabad,Adani Power Ltd.,3900.0
July,Ahmedabad,Adani Power Ltd.,2508.0
May,Ahmedabad,Orient Green,1216.0
August,Ahmedabad,Adani Power Ltd.,2082.0
May,Ahmedabad,Adani Power Ltd.,1436.0
April,Ahmedabad,Orient Green,1371.0
July,Ahmedabad,Adani Power Ltd.,2610.0
May,Ahmedabad,Adani Power Ltd.,2484.0
April,Ahmedabad,Adani Power Ltd.,1599.0
October,Ahmedabad,Indowind Energy,1304.0
August,Ahmedabad,Adani Power Ltd.,1554.0
March,Ahmedabad,Indowind Energy,1304.0
August,Ahmedabad,Reliance Energy,1158.0
June,Ahmedabad,Orient Green,2952.0
August,Ahmedabad,Indowind Energy,720.0
March,Ahmedabad,Tata Power Company Ltd.,962.0
March,Ahmedabad,Tata Power Company Ltd.,1304.0
April,Ahmedabad,Indowind Energy,1107.0
April,Ahmedabad,Adani Power Ltd.,1929.0
November,Ahmedabad,Tata Power Company Ltd.,921.6
January,Ahmedabad,Reliance Energy,883.2
February,Ahmedabad,Reliance Energy,675.2
December,Ahmedabad,Adani Power Ltd.,742.4
December,Ahmedabad,Reliance Energy,988.8
June,Ahmedabad,Tata Power Company Ltd.,4368.0
March,Ahmedabad,Adani Power Ltd.,906.0
April,Ahmedabad,Adani Power Ltd.,1884.0
January,Ahmedabad,Indowind Energy,803.2
August,Ahmedabad,Orient Green,1608.0
April,Ahmedabad,Indowind Energy,1854.0
June,Ahmedabad,Adani Power Ltd.,1950.0
March,Ahmedabad,Reliance Energy,716.0
April,Ahmedabad,Reliance Energy,1173.0
April,Ahmedabad,Orient Green,1350.0
December,Ahmedabad,Indowind Energy,694.4
July,Ahmedabad,Tata Power Company Ltd.,2682.0
October,Ahmedabad,Indowind Energy,1146.0
December,Ahmedabad,Tata Power Company Ltd.,969.6
April,Ahmedabad,Adani Power Ltd.,1611.0
April,Ahmedabad,Indowind Energy,1638.0
December,Ahmedabad,Indowind Energy,756.8
January,Ahmedabad,Reliance Energy,1052.8
September,Ahmedabad,Indowind Energy,945.6
January,Ahmedabad,Reliance Energy,993.6
April,Ahmedabad,Tata Power Company Ltd.,1650.0
August,Ahmedabad,Tata Power Company Ltd.,1197.0
November,Ahmedabad,Tata Power Company Ltd.,644.8
June,Ahmedabad,Indowind Energy,3132.0
May,Ahmedabad,Reliance Energy,1084.0
March,Ahmedabad,Indowind Energy,1222.0
September,Ahmedabad,Reliance Energy,1087.2
September,Ahmedabad,Adani Power Ltd.,1293.6
January,Ahmedabad,Reliance Energy,651.2
April,Ahmedabad,Indowind Energy,1419.0
March,Ahmedabad,Tata Power Company Ltd.,1470.0
October,Ahmedabad,Indowind Energy,610.0
September,Ahmedabad,Orient Green,1382.4
January,Ahmedabad,Orient Green,676.8
November,Ahmedabad,Adani Power Ltd.,884.8
October,Ahmedabad,Tata Power Company Ltd.,942.0
March,Ahmedabad,Indowind Energy,1000.0
February,Ahmedabad,Reliance Energy,899.2
February,Ahmedabad,Tata Power Company Ltd.,656.0
March,Ahmedabad,Adani Power Ltd.,1168.0
February,Ahmedabad,Reliance Energy,814.4
March,Ahmedabad,Orient Green,1268.0
July,Ahmedabad,Adani Power Ltd.,3432.0
February,Ahmedabad,Orient Green,787.2
February,Ahmedabad,Reliance Energy,766.4
December,Ahmedabad,Adani Power Ltd.,704.0
April,Ahmedabad,Adani Power Ltd.,1848.0
February,Ahmedabad,Reliance Energy,1041.6
May,Ahmedabad,Orient Green,1544.0
April,Ahmedabad,Indowind Energy,1995.0
March,Ahmedabad,Reliance Energy,1150.0
March,Ahmedabad,Reliance Energy,976.0
July,Ahmedabad,Indowind Energy,5220.0
March,Ahmedabad,Reliance Energy,1090.0
April,Ahmedabad,Tata Power Company Ltd.,1449.0
December,Ahmedabad,Orient Green,380.8
August,Ahmedabad,Reliance Energy,1929.0
April,Ahmedabad,Indowind Energy,1476.0
August,Ahmedabad,Orient Green,1563.0
February,Ahmedabad,Orient Green,920.0
April,Ahmedabad,Reliance Energy,897.0
June,Ahmedabad,Tata Power Company Ltd.,2070.0
January,Ahmedabad,Orient Green,1339.2
May,Ahmedabad,Indowind Energy,2200.0
August,Ahmedabad,Indowind Energy,1149.0
March,Ahmedabad,Adani Power Ltd.,890.0
September,Ahmedabad,Orient Green,590.4
October,Ahmedabad,Indowind Energy,1016.0
February,Ahmedabad,Adani Power Ltd.,867.2
May,Ahmedabad,Adani Power Ltd.,2572.0
March,Ahmedabad,Adani Power Ltd.,670.0
December,Ahmedabad,Indowind Energy,577.6
July,Ahmedabad,Orient Green,4332.0
September,Ahmedabad,Orient Green,1291.2
January,Ahmedabad,Reliance Energy,660.8
July,Ahmedabad,Tata Power Company Ltd.,3204.0
March,Ahmedabad,Reliance Energy,940.0
January,Ahmedabad,Indowind Energy,880.0
November,Ahmedabad,Indowind Energy,825.6
December,Ahmedabad,Tata Power Company Ltd.,771.2
March,Ahmedabad,Indowind Energy,712.0
December,Ahmedabad,Reliance Energy,944.0
November,Ahmedabad,Orient Green,1027.2
December,Ahmedabad,Indowind Energy,710.4
April,Ahmedabad,Reliance Energy,1296.0
October,Ahmedabad,Reliance Energy,1420.0
August,Ahmedabad,Orient Green,1887.0
February,Ahmedabad,Orient Green,572.8
March,Ahmedabad,Indowind Energy,998.0
June,Ahmedabad,Tata Power Company Ltd.,2730.0
November,Ahmedabad,Tata Power Company Ltd.,788.8
May,Ahmedabad,Indowind Energy,3116.0
January,Ahmedabad,Adani Power Ltd.,1017.6
April,Ahmedabad,Indowind Energy,1896.0
May,Ahmedabad,Adani Power Ltd.,1016.0
January,Ahmedabad,Reliance Energy,875.2
January,Ahmedabad,Reliance Energy,552.0
May,Ahmedabad,Adani Power Ltd.,3508.0
September,Ahmedabad,Adani Power Ltd.,710.4
May,Ahmedabad,Orient Green,1932.0
November,Ahmedabad,Tata Power Company Ltd.,971.2
December,Ahmedabad,Reliance Energy,1120.0
November,Ahmedabad,Tata Power Company Ltd.,897.6
October,Ahmedabad,Adani Power Ltd.,1108.0
May,Ahmedabad,Adani Power Ltd.,2664.0
January,Ahmedabad,Indowind Energy,1060.8
July,Ahmedabad,Adani Power Ltd.,3072.0
March,Ahmedabad,Tata Power Company Ltd.,958.0
April,Ahmedabad,Orient Green,2040.0
January,Ahmedabad,Reliance Energy,771.2
July,Ahmedabad,Indowind Energy,3072.0
December,Ahmedabad,Indowind Energy,1044.8
July,Ahmedabad,Orient Green,3762.0
January,Ahmedabad,Adani Power Ltd.,694.4
November,Ahmedabad,Orient Green,611.2
August,Ahmedabad,Orient Green,1842.0
January,Ahmedabad,Orient Green,881.6
January,Ahmedabad,Indowind Energy,753.6
December,Ahmedabad,Tata Power Company Ltd.,969.6
October,Ahmedabad,Adani Power Ltd.,1168.0
May,Ahmedabad,Orient Green,2148.0
July,Ahmedabad,Indowind Energy,2298.0
September,Ahmedabad,Orient Green,1442.4
November,Ahmedabad,Adani Power Ltd.,875.2
September,Ahmedabad,Indowind Energy,1521.6
November,Ahmedabad,Reliance Energy,484.8
February,Ahmedabad,Indowind Energy,985.6
December,Ahmedabad,Adani Power Ltd.,1064.0
February,Ahmedabad,Tata Power Company Ltd.,729.6
August,Ahmedabad,Adani Power Ltd.,2223.0
September,Ahmedabad,Reliance Energy,1704.0
November,Ahmedabad,Tata Power Company Ltd.,696.0
August,Ahmedabad,Indowind Energy,2019.0
June,Ahmedabad,Indowind Energy,2712.0
July,Ahmedabad,Tata Power Company Ltd.,1608.0
August,Ahmedabad,Tata Power Company Ltd.,1563.0
January,Ahmedabad,Tata Power Company Ltd.,865.6
October,Ahmedabad,Reliance Energy,962.0
August,Ahmedabad,Orient Green,1623.0
February,Ahmedabad,Orient Green,836.8
October,Ahmedabad,Indowind Energy,562.0
February,Ahmedabad,Indowind Energy,720.0
October,Ahmedabad,Reliance Energy,902.0
October,Ahmedabad,Tata Power Company Ltd.,918.0
November,Ahmedabad,Orient Green,1062.4
February,Ahmedabad,Reliance Energy,720.0
October,Ahmedabad,Tata Power Company Ltd.,1006.0
April,Ahmedabad,Orient Green,903.0
August,Ahmedabad,Adani Power Ltd.,1680.0
January,Ahmedabad,Orient Green,561.6
September,Ahmedabad,Adani Power Ltd.,1476.0
December,Ahmedabad,Indowind Energy,958.4
October,Ahmedabad,Reliance Energy,1522.0
September,Ahmedabad,Orient Green,1065.6
September,Ahmedabad,Orient Green,1548.0
June,Ahmedabad,Orient Green,3726.0
September,Ahmedabad,Tata Power Company Ltd.,1833.6
May,Chennai,Tata Power Company Ltd.,493.5
July,Chennai,Indowind Energy,1044.75
February,Chennai,Adani Power Ltd.,351.4
July,Chennai,Orient Green,903.0
October,Chennai,Adani Power Ltd.,489.125
November,Chennai,Adani Power Ltd.,317.8
September,Chennai,Orient Green,756.0
August,Chennai,Orient Green,765.1875
April,Chennai,Reliance Energy,555.1875
January,Chennai,Reliance Energy,415.8
July,Chennai,Reliance Energy,816.375
July,Chennai,Orient Green,1162.875
November,Chennai,Tata Power Company Ltd.,248.5
June,Chennai,Indowind Energy,1897.875
July,Chennai,Reliance Energy,1107.75
December,Chennai,Orient Green,263.2
December,Chennai,Reliance Energy,365.4
December,Chennai,Indowind Energy,483.7
April,Chennai,Reliance Energy,679.875
April,Chennai,Adani Power Ltd.,619.5
January,Chennai,Reliance Energy,277.9
May,Chennai,Indowind Energy,873.25
October,Chennai,Orient Green,608.125
July,Chennai,Orient Green,981.75
November,Chennai,Adani Power Ltd.,301.7
April,Chennai,Adani Power Ltd.,643.125
July,Chennai,Adani Power Ltd.,1170.75
August,Chennai,Orient Green,591.9375
February,Chennai,Indowind Energy,203.7
December,Chennai,Indowind Energy,381.5
February,Chennai,Orient Green,355.6
January,Chennai,Tata Power Company Ltd.,361.9
January,Chennai,Orient Green,344.4
October,Chennai,Adani Power Ltd.,417.375
June,Chennai,Orient Green,1496.25
June,Chennai,Indowind Energy,1309.875
September,Chennai,Adani Power Ltd.,618.45
January,Chennai,Adani Power Ltd.,229.6
June,Chennai,Tata Power Company Ltd.,2189.25
August,Chennai,Tata Power Company Ltd.,591.9375
May,Chennai,Tata Power Company Ltd.,708.75
September,Chennai,Orient Green,291.9
February,Chennai,Indowind Energy,453.6
September,Chennai,Indowind Energy,410.55
January,Chennai,Indowind Energy,345.1
October,Chennai,Orient Green,471.625
November,Chennai,Adani Power Ltd.,257.6
March,Chennai,Indowind Energy,434.0
June,Chennai,Reliance Energy,1556.625
January,Chennai,Reliance Energy,342.3
May,Chennai,Reliance Energy,841.75
January,Chennai,Adani Power Ltd.,271.6
August,Chennai,Adani Power Ltd.,796.6875
August,Chennai,Indowind Energy,557.8125
January,Chennai,Orient Green,388.5
December,Chennai,Reliance Energy,334.6
January,Chennai,Indowind Energy,196.7
March,Chennai,Reliance Energy,387.625
November,Chennai,Indowind Energy,567.7
February,Chennai,Reliance Energy,423.5
June,Chennai,Tata Power Company Ltd.,1254.75
February,Chennai,Adani Power Ltd.,334.6
March,Chennai,Orient Green,252.0
August,Chennai,Reliance Energy,698.25
February,Chennai,Indowind Energy,271.6
March,Chennai,Adani Power Ltd.,531.125
March,Chennai,Orient Green,391.125
August,Chennai,Indowind Energy,829.5
November,Chennai,Reliance Energy,448.7
February,Chennai,Indowind Energy,358.4
May,Chennai,Reliance Energy,894.25
July,Chennai,Adani Power Ltd.,1454.25
October,Chennai,Indowind Energy,560.875
October,Chennai,Adani Power Ltd.,522.375
September,Chennai,Tata Power Company Ltd.,709.8
July,Chennai,Adani Power Ltd.,1459.5
February,Chennai,Reliance Energy,293.3
December,Chennai,Adani Power Ltd.,535.5
July,Chennai,Indowind Energy,1404.375
October,Chennai,Tata Power Company Ltd.,418.25
August,Chennai,Tata Power Company Ltd.,511.875
January,Chennai,Tata Power Company Ltd.,273.0
April,Chennai,Adani Power Ltd.,780.9375
December,Chennai,Orient Green,174.3
January,Chennai,Indowind Energy,516.6
March,Chennai,Reliance Energy,293.125
January,Chennai,Orient Green,198.1
July,Chennai,Tata Power Company Ltd.,1023.75
January,Chennai,Reliance Energy,399.7
April,Chennai,Reliance Energy,735.0
September,Chennai,Tata Power Company Ltd.,686.7
February,Chennai,Orient Green,385.7
July,Chennai,Orient Green,1344.0
January,Chennai,Orient Green,610.4
July,Chennai,Reliance Energy,979.125
July,Chennai,Reliance Energy,1260.0
August,Chennai,Indowind Energy,591.9375
November,Chennai,Adani Power Ltd.,382.2
January,Chennai,Indowind Energy,399.7
January,Chennai,Adani Power Ltd.,287.0
January,Chennai,Reliance Energy,256.9
July,Chennai,Orient Green,1220.625
January,Chennai,Reliance Energy,242.2
August,Chennai,Tata Power Company Ltd.,459.375
December,Chennai,Orient Green,386.4
January,Chennai,Adani Power Ltd.,298.9
December,Chennai,Adani Power Ltd.,277.9
May,Chennai,Reliance Energy,945.0
September,Chennai,Tata Power Company Ltd.,420.0
September,Chennai,Orient Green,674.1
September,Chennai,Tata Power Company Ltd.,295.05
September,Chennai,Tata Power Company Ltd.,579.6
August,Chennai,Reliance Energy,616.875
January,Chennai,Reliance Energy,383.6
December,Chennai,Tata Power Company Ltd.,235.2
March,Chennai,Indowind Energy,360.5
December,Chennai,Orient Green,311.5
June,Chennai,Adani Power Ltd.,981.75
October,Chennai,Orient Green,564.375
July,Chennai,Orient Green,1021.125
July,Chennai,Adani Power Ltd.,1052.625
April,Chennai,Orient Green,721.875
January,Chennai,Adani Power Ltd.,340.9
September,Chennai,Orient Green,332.85
February,Chennai,Tata Power Company Ltd.,320.6
September,Chennai,Tata Power Company Ltd.,427.35
December,Chennai,Tata Power Company Ltd.,368.9
December,Chennai,Adani Power Ltd.,427.7
February,Chennai,Tata Power Company Ltd.,353.5
December,Chennai,Tata Power Company Ltd.,474.6
November,Chennai,Tata Power Company Ltd.,399.7
February,Chennai,Orient Green,380.1
August,Chennai,Tata Power Company Ltd.,532.875
November,Chennai,Indowind Energy,452.2
May,Chennai,Tata Power Company Ltd.,537.25
September,Chennai,Orient Green,520.8
February,Chennai,Indowind Energy,398.3
June,Chennai,Tata Power Company Ltd.,1722.0
June,Chennai,Orient Green,2709.0
October,Chennai,Reliance Energy,929.25
October,Chennai,Adani Power Ltd.,1032.5
July,Chennai,Adani Power Ltd.,2031.75
March,Chennai,Indowind Energy,1093.75
March,Chennai,Orient Green,789.25
January,Chennai,Reliance Energy,1057.0
November,Chennai,Indowind Energy,718.2
October,Chennai,Tata Power Company Ltd.,1177.75
September,Chennai,Reliance Energy,554.4
August,Chennai,Tata Power Company Ltd.,1729.875
May,Chennai,Adani Power Ltd.,1694.0
March,Chennai,Orient Green,1193.5
September,Chennai,Indowind Energy,1203.3
November,Chennai,Reliance Energy,399.0
April,Chennai,Tata Power Company Ltd.,1152.375
August,Chennai,Tata Power Company Ltd.,1648.5
November,Chennai,Adani Power Ltd.,610.4
September,Chennai,Tata Power Company Ltd.,949.2
May,Chennai,Adani Power Ltd.,1841.0
January,Chennai,Indowind Energy,1016.4
April,Chennai,Tata Power Company Ltd.,1086.75
May,Chennai,Indowind Energy,1284.5
July,Chennai,Adani Power Ltd.,3528.0
October,Chennai,Orient Green,1216.25
February,Chennai,Orient Green,744.8
January,Chennai,Tata Power Company Ltd.,908.6
November,Chennai,Reliance Energy,646.8
July,Chennai,Adani Power Ltd.,2231.25
July,Chennai,Tata Power Company Ltd.,3008.25
November,Chennai,Reliance Energy,826.0
January,Chennai,Indowind Energy,483.0
April,Chennai,Indowind Energy,1412.25
March,Chennai,Tata Power Company Ltd.,1043.0
June,Chennai,Reliance Energy,2651.25
October,Chennai,Tata Power Company Ltd.,766.5
September,Chennai,Indowind Energy,1152.9
March,Chennai,Tata Power Company Ltd.,365.75
September,Chennai,Reliance Energy,882.0
February,Chennai,Tata Power Company Ltd.,655.2
January,Chennai,Adani Power Ltd.,732.2
June,Chennai,Reliance Energy,2934.75
January,Chennai,Reliance Energy,1090.6
May,Chennai,Adani Power Ltd.,2341.5
January,Chennai,Adani Power Ltd.,445.2
August,Chennai,Orient Green,1829.625
November,Chennai,Orient Green,641.2
December,Chennai,Tata Power Company Ltd.,733.6
July,Chennai,Tata Power Company Ltd.,2856.0
May,Chennai,Tata Power Company Ltd.,2096.5
